Username,Description,PullReq,Ratings
llvm / llvm-project,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies. Note: the repository does not accept github pull requests at this moment. Please submit your patches at http://reviews.llvm.org.,"6,425",359 stars this month
OneLoneCoder / olcPixelGameEngine,"The official distribution of olcPixelGameEngine, a tool used in javidx9's YouTube videos and projects","1,690",150 stars this month
microsoft / PowerToys,Windows system utilities to maximize productivity,"40,593","3,095 stars this month"
microsoft / calculator,Windows Calculator: A simple yet powerful calculator that ships with Windows,"20,424",216 stars this month
changkun / modern-cpp-tutorial,📚 Modern C++ Tutorial: C++11/14/17/20 On the Fly,"8,213","1,205 stars this month"
ValveSoftware / Proton,Compatibility tool for Steam Play based on Wine and additional components,"12,260",361 stars this month
opencv / opencv,Open Source Computer Vision Library,"49,660","1,163 stars this month"
CppCon / CppCon2020,Slides and other materials from CppCon 2020,733,326 stars this month
nlohmann / json,JSON for Modern C++,"20,874",464 stars this month
MarlinFirmware / Marlin,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,"8,628",368 stars this month
godotengine / godot,Godot Engine – Multi-platform 2D and 3D game engine,"34,313",893 stars this month
grpc / grpc,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)","27,995",356 stars this month
CMU-Perceptual-Computing-Lab / openpose,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation","18,988",333 stars this month
qbittorrent / qBittorrent,qBittorrent BitTorrent client,"10,365",286 stars this month
tensorflow / tensorflow,An Open Source Machine Learning Framework for Everyone,"1,49,644","1,098 stars this month"
flameshot-org / flameshot,Powerful yet simple to use screenshot software,"6,830",374 stars this month
monero-project / monero,"Monero: the secure, private, untraceable cryptocurrency","4,599",72 stars this month
bitcoin / bitcoin,Bitcoin Core integration/staging tree,"45,685",507 stars this month
apple / swift,The Swift Programming Language,"53,999",440 stars this month
electron / electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS","86,628",707 stars this month
CyC2018 / CS-Notes,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++,"1,13,499",96 stars today
hollischuang / toBeTopJavaer,To Be Top Javaer - Java工程师成神之路,"17,897",186 stars today
srcrs / BilibiliTask,哔哩哔哩(B站)自动完成每日任务，投币，点赞，直播签到，自动兑换银瓜子为硬币，自动送出即将过期礼物，漫画App签到。,276,41 stars today
preslavmihaylov / booknotes,A collection of my book notes on various computer science books,585,76 stars today
prestosql / presto,"Home of the community managed version of Presto, the distributed SQL query engine for big data, under the auspices of the Presto Software Foundation.","1,452",4 stars today
LuckSiege / PictureSelector,Picture Selector Library for Android or 图片选择器,"9,427",8 stars today
nic-delhi / AarogyaSetu_Android,Aarogya Setu Android app native code,"2,756",13 stars today
YunaiV / SpringBoot-Labs,一个涵盖六个专栏：Spring Boot 2.X、Spring Cloud、Spring Cloud Alibaba、Dubbo、分布式消息队列、分布式事务的仓库。希望胖友小手一抖，右上角来个 Star，感恩 1024,"8,209",23 stars today
xuxueli / xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,"16,058",30 stars today
apache / iceberg,Apache Iceberg,785,12 stars today
Cullyege / Hacktoberfest2020,Make your Hacktoberfest 2020 contribution here! Win stickers and a T-shirt on completing 4 pull requests. (Specially for beginners)! :D,98,9 stars today
vespa-engine / vespa,Vespa is an engine for low-latency computation over large data sets.,"3,334",3 stars today
debezium / debezium,Change data capture for a variety of databases. Please log issues at https://issues.redhat.com/browse/DBZ.,"3,815",9 stars today
jagrosh / MusicBot,🎶 A Discord music bot that's easy to set up and run yourself!,903,4 stars today
apache / nifi,Apache NiFi,"2,293",2 stars today
apache / dubbo,"Apache Dubbo is a high-performance, java based, open source RPC framework.","33,882",13 stars today
spring-projects / spring-security,Spring Security,"5,323",5 stars today
seata / seata-samples,seata-samples,"1,203",3 stars today
zhisheng17 / flink-learning,flink learning blog. http://www.flink-learning.com 含 Flink 入门、概念、原理、实战、性能调优、源码解析等内容。涉及 Flink Connector、Metrics、Library、DataStream API、Table API & SQL 等内容的学习案例，还有 Flink 落地应用的大型项目案例（PVUV、日志存储、百亿数据实时去重、监控告警）分享。欢迎大家支持我的专栏《大数据实时计算引擎 Flink 实战与性能优化》,"8,438",8 stars today
react-native-camera / react-native-camera,A Camera component for React Native. Also supports barcode scanning!,"8,733",4 stars today
junit-team / junit5,✅ The next generation of JUnit.,"4,235",4 stars today
mc1arke / sonarqube-community-branch-plugin,A plugin that allows branch analysis and pull request decoration in the Community version of Sonarqube,613,3 stars today
bazelbuild / bazel,"a fast, scalable, multi-language and extensible build system","15,573",10 stars today
apache / rocketmq,Mirror of Apache RocketMQ,"12,558",10 stars today
Blankj / AndroidUtilCode,🔥 Android developers should collect the following utils(updating).,"28,127",8 stars today
TeamNewPipe / NewPipe,A libre lightweight streaming front-end for Android.,"11,190",487 stars this week
hyb1996 / Auto.js,"A UiAutomator on android, does not need root access(安卓平台上的JavaScript自动化工具)","8,284",530 stars this week
hollischuang / toBeTopJavaer,To Be Top Javaer - Java工程师成神之路,"17,897",505 stars this week
alibaba / COLA,Clean Object-oriented & Layered Architecture,"3,098",62 stars this week
JunzhouLiu / BILIBILI-HELPER,利用GitHub Action定时任务实现B站，哔哩哔哩（Bilibili）每日自动投币，签到，银瓜子兑换硬币，领取大会员福利，大会员月底给自己充电等。每天轻松获取65经验值。赶快和我一起成为Lv6吧！,862,189 stars this week
metersphere / metersphere,An open source continuous testing platform. MeterSphere 是一站式的开源企业级持续测试平台，涵盖测试跟踪、接口测试、性能测试、团队协作等功能，全面兼容 JMeter、Postman 等开源、主流标准。项目采用 SpringBoot 2.x + MyBatis + Vue.js + Element + Docker + Kafka + MySQL等开发。,"2,394",72 stars this week
seven332 / EhViewer,[DEPRECATED] An Unofficial E-Hentai Application for Android,"5,766",47 stars this week
awsdocs / aws-doc-sdk-examples,"Welcome to the AWS Code Examples Repository. This repo contains code examples used in the AWS documentation, AWS SDK Developer Guides, and more. For more information, see the Readme.rst file below.","2,994",37 stars this week
Snailclimb / JavaGuide,「Java学习+面试指南」一份涵盖大部分Java程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,"90,710",510 stars this week
xuxueli / xxl-job,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,"16,058",111 stars this week
looly / hutool,A set of tools that keep Java sweet.,"16,179",165 stars this week
apache / dubbo,"Apache Dubbo is a high-performance, java based, open source RPC framework.","33,882",73 stars this week
spring-projects / spring-framework,Spring Framework,"39,888",142 stars this week
CyC2018 / CS-Notes,📚 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计、Java、Python、C++,"1,13,499",464 stars this week
alibaba / spring-cloud-alibaba,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,"16,183",113 stars this week
alibaba / nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.","14,712",152 stars this week
gyoogle / tech-interview-for-developer,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖,"2,332",67 stars this week
ctripcorp / apollo,Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。,"22,683",91 stars this week
skylot / jadx,Dex to Java decompiler,"23,764",113 stars this week
pagehelper / Mybatis-PageHelper,Mybatis通用分页插件,"9,752",31 stars this week
CarGuo / GSYVideoPlayer,"视频播放器（IJKplayer、ExoPlayer、MediaPlayer），HTTPS，支持弹幕，外挂字幕，支持滤镜、水印、gif截图，片头广告、中间广告，多个同时播放，支持基本的拖动，声音、亮度调节，支持边播边缓存，支持视频自带rotation的旋转（90,270之类），重力旋转与手动旋转的同步支持，支持列表播放 ，列表全屏动画，视频加载速度，列表小窗口支持拖动，动画效果，调整比例，多分辨率切换，支持切换播放器，进度条小窗口预览，列表切换详情页面无缝播放，rtsp、concat、mpeg。","15,054",47 stars this week
PhilJay / MPAndroidChart,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.","31,995",70 stars this week
GeyserMC / Geyser,A bridge/proxy allowing you to connect to Minecraft: Java Edition servers with Minecraft: Bedrock edition.,"1,445",101 stars this week
apache / flink,Apache Flink,"14,476",83 stars this week
apache / hbase,Apache HBase,"3,770",22 stars this week
huanzi-qch / base-admin,Base Admin一套简单通用的后台管理系统，主要功能有：权限管理、菜单管理、用户管理，系统设置、实时日志，实时监控，API加密，以及登录用户修改密码、配置个性菜单等,"1,432",904 stars this month
TeamNewPipe / NewPipe,A libre lightweight streaming front-end for Android.,"11,190",838 stars this month
hyb1996 / Auto.js,"A UiAutomator on android, does not need root access(安卓平台上的JavaScript自动化工具)","8,284",799 stars this month
elunez / eladmin,项目基于 Spring Boot 2.1.0 、 Jpa、 Spring Security、redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由,"11,623",815 stars this month
doocs / advanced-java,😮 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识，后端同学必看，前端同学也可学习,"49,088","1,605 stars this month"
AntennaPod / AntennaPod,A podcast manager for Android,"3,162",135 stars this month
TheAlgorithms / Java,All Algorithms implemented in Java,"31,615","1,496 stars this month"
